Unnamed: 0,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist
0,30101.0,30101.0,Gamle Oslo,Gamle Oslo,54156,0.0,32642,41736,43121.0,4.75,4.75,453000,30101,453000,10.73476733965368,59.8992367,10.73476733965368,59.8992367
1,30102.0,30101.0,Grünerløkka Oslo,Gamle Oslo,18715,3770.7946983631055,36931,47824,43121.0,3.65,4.75,450000,30101,453000,10.777421166334747,59.92547125,10.73476733965368,59.8992367
2,30103.0,30101.0,Sagene Oslo,Gamle Oslo,9690,4797.635233691764,27199,33852,43121.0,2.34,4.75,461000,30101,453000,10.765848812662396,59.93827295,10.73476733965368,59.8992367
3,30104.0,30101.0,St. Hanshaugen Oslo,Gamle Oslo,12727,3558.663471974345,26137,29966,43121.0,2.8,4.75,430000,30101,453000,10.738958251649304,59.9279499,10.73476733965368,59.8992367
4,30105.0,30101.0,Frogner Oslo,Gamle Oslo,14509,3071.7740726346165,37858,42741,43121.0,5.35,4.75,464000,30101,453000,10.7066491,59.9222241,10.73476733965368,59.8992367
5,30106.0,30101.0,Ullern Oslo,Gamle Oslo,5644,5495.850695310252,18359,19164,43121.0,7.1,4.75,648000,30101,453000,10.665131833047553,59.9258182,10.73476733965368,59.8992367
6,30107.0,30101.0,Vestre Aker Oslo,Gamle Oslo,6307,7545.016450331841,26115,27837,43121.0,11.55,4.75,688000,30101,453000,10.6703187408315,59.95830005,10.73476733965368,59.8992367
7,30108.0,30101.0,Nordre Aker Oslo,Gamle Oslo,9597,6484.167307040564,29692,31804,43121.0,10.5,4.75,578000,30101,453000,10.756412356654582,59.95363815,10.73476733965368,59.8992367
8,30109.0,30101.0,Bjerke Oslo,Gamle Oslo,6242,6602.882898503762,17453,20501,43121.0,5.85,4.75,490000,30101,453000,10.829208453029786,59.941394700000004,10.73476733965368,59.8992367
9,30110.0,30101.0,Grorud Oslo,Gamle Oslo,4085,10747.08857420078,15957,17273,43121.0,4.37,4.75,453000,30101,453000,10.8805488,59.9614243,10.73476733965368,59.8992367
10,30111.0,30101.0,Stovner Oslo,Gamle Oslo,4175,12068.280088365109,17580,19116,43121.0,5.04,4.75,489000,30101,453000,10.9228232,59.9621403,10.73476733965368,59.8992367
11,30112.0,30101.0,Alna Oslo,Gamle Oslo,11422,7880.688402444352,29231,30341,43121.0,9.23,4.75,477000,30101,453000,10.8352756,59.9324168,10.73476733965368,59.8992367
12,30113.0,30101.0,Østensjø Oslo,Gamle Oslo,9918,5228.021365983831,27005,30474,43121.0,7.66,4.75,539000,30101,453000,10.83274792453087,59.8875633,10.73476733965368,59.8992367
13,30114.0,30101.0,Nordstrand Oslo,Gamle Oslo,9361,3628.121381184239,27713,30471,43121.0,11.83,4.75,607000,30101,453000,10.7861425,59.8645605,10.73476733965368,59.8992367
14,30115.0,30101.0,Søndre Nordstrand Oslo,Gamle Oslo,5652,8344.190139337936,21953,23438,43121.0,6.16,4.75,539000,30101,453000,10.798495515727911,59.83594385,10.73476733965368,59.8992367
15,30116.0,30101.0,Sentrum Oslo,Gamle Oslo,11109,1380.585824670632,825,1264,43121.0,1.4,4.75,335000,30101,453000,10.7531379,59.9110251,10.73476733965368,59.8992367
16,30117.0,30101.0,Marka Oslo,Gamle Oslo,340,13191.893903590484,1014,1035,43121.0,5.699999999999999,4.75,625000,30101,453000,10.671005191490298,60.040261650000005,10.73476733965368,59.8992367
