,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
0,30101.0,30101.0,Gamle Oslo,Gamle Oslo,54156.0,43396.8
1,30101.0,30102.0,Gamle Oslo,Grünerløkka Oslo,18469.0,12636.2
2,30101.0,30103.0,Gamle Oslo,Sagene Oslo,9668.0,9656.5
3,30101.0,30104.0,Gamle Oslo,St. Hanshaugen Oslo,12592.0,11704.5
4,30101.0,30105.0,Gamle Oslo,Frogner Oslo,14549.0,13759.1
5,30101.0,30106.0,Gamle Oslo,Ullern Oslo,5653.0,7249.0
6,30101.0,30107.0,Gamle Oslo,Vestre Aker Oslo,6155.0,6170.8
7,30101.0,30108.0,Gamle Oslo,Nordre Aker Oslo,9544.0,6969.4
8,30101.0,30109.0,Gamle Oslo,Bjerke Oslo,6256.0,5677.6
9,30101.0,30110.0,Gamle Oslo,Grorud Oslo,4021.0,3605.1
10,30101.0,30111.0,Gamle Oslo,Stovner Oslo,4182.0,2595.3
11,30101.0,30112.0,Gamle Oslo,Alna Oslo,11523.0,5997.4
12,30101.0,30113.0,Gamle Oslo,Østensjø Oslo,9885.0,9945.6
13,30101.0,30114.0,Gamle Oslo,Nordstrand Oslo,9447.0,9430.5
14,30101.0,30115.0,Gamle Oslo,Søndre Nordstrand Oslo,5692.0,4718.5
15,30101.0,30116.0,Gamle Oslo,Sentrum Oslo,11361.0,11921.4
16,30101.0,30117.0,Gamle Oslo,Marka Oslo,380.0,697.5
17,30102.0,30101.0,Grünerløkka Oslo,Gamle Oslo,18715.0,9313.5
18,30102.0,30102.0,Grünerløkka Oslo,Grünerløkka Oslo,57167.0,57167.0
19,30102.0,30103.0,Grünerløkka Oslo,Sagene Oslo,15488.0,15488.0
20,30102.0,30104.0,Grünerløkka Oslo,St. Hanshaugen Oslo,15743.0,15743.0
21,30102.0,30105.0,Grünerløkka Oslo,Frogner Oslo,14880.0,14880.0
22,30102.0,30106.0,Grünerløkka Oslo,Ullern Oslo,5328.0,5328.0
23,30102.0,30107.0,Grünerløkka Oslo,Vestre Aker Oslo,6017.0,6017.0
24,30102.0,30108.0,Grünerløkka Oslo,Nordre Aker Oslo,11666.0,11666.0
25,30102.0,30109.0,Grünerløkka Oslo,Bjerke Oslo,7503.0,7503.0
26,30102.0,30110.0,Grünerløkka Oslo,Grorud Oslo,3918.0,3918.0
27,30102.0,30111.0,Grünerløkka Oslo,Stovner Oslo,3956.0,3956.0
28,30102.0,30112.0,Grünerløkka Oslo,Alna Oslo,8985.0,8985.0
29,30102.0,30113.0,Grünerløkka Oslo,Østensjø Oslo,6438.0,6438.0
30,30102.0,30114.0,Grünerløkka Oslo,Nordstrand Oslo,6551.0,6551.0
31,30102.0,30115.0,Grünerløkka Oslo,Søndre Nordstrand Oslo,3847.0,3847.0
32,30102.0,30116.0,Grünerløkka Oslo,Sentrum Oslo,9811.0,9811.0
33,30102.0,30117.0,Grünerløkka Oslo,Marka Oslo,565.0,565.0
34,30103.0,30101.0,Sagene Oslo,Gamle Oslo,9690.0,7025.7
35,30103.0,30102.0,Sagene Oslo,Grünerløkka Oslo,15379.0,15379.0
36,30103.0,30103.0,Sagene Oslo,Sagene Oslo,31938.0,31938.0
37,30103.0,30104.0,Sagene Oslo,St. Hanshaugen Oslo,11580.0,11580.0
38,30103.0,30105.0,Sagene Oslo,Frogner Oslo,10563.0,10563.0
39,30103.0,30106.0,Sagene Oslo,Ullern Oslo,4047.0,4047.0
40,30103.0,30107.0,Sagene Oslo,Vestre Aker Oslo,4572.0,4572.0
41,30103.0,30108.0,Sagene Oslo,Nordre Aker Oslo,13830.0,13830.0
42,30103.0,30109.0,Sagene Oslo,Bjerke Oslo,4755.0,4755.0
43,30103.0,30110.0,Sagene Oslo,Grorud Oslo,2484.0,2484.0
44,30103.0,30111.0,Sagene Oslo,Stovner Oslo,1978.0,1978.0
45,30103.0,30112.0,Sagene Oslo,Alna Oslo,5384.0,5384.0
46,30103.0,30113.0,Sagene Oslo,Østensjø Oslo,3673.0,3673.0
47,30103.0,30114.0,Sagene Oslo,Nordstrand Oslo,3724.0,3724.0
48,30103.0,30115.0,Sagene Oslo,Søndre Nordstrand Oslo,1800.0,1800.0
49,30103.0,30116.0,Sagene Oslo,Sentrum Oslo,5477.0,5477.0
50,30103.0,30117.0,Sagene Oslo,Marka Oslo,611.0,611.0
51,30104.0,30101.0,St. Hanshaugen Oslo,Gamle Oslo,12727.0,9315.5
52,30104.0,30102.0,St. Hanshaugen Oslo,Grünerløkka Oslo,15837.0,15837.0
53,30104.0,30103.0,St. Hanshaugen Oslo,Sagene Oslo,11780.0,11780.0
54,30104.0,30104.0,St. Hanshaugen Oslo,St. Hanshaugen Oslo,35436.0,35436.0
55,30104.0,30105.0,St. Hanshaugen Oslo,Frogner Oslo,18561.0,18561.0
56,30104.0,30106.0,St. Hanshaugen Oslo,Ullern Oslo,5378.0,5378.0
57,30104.0,30107.0,St. Hanshaugen Oslo,Vestre Aker Oslo,7374.0,7374.0
58,30104.0,30108.0,St. Hanshaugen Oslo,Nordre Aker Oslo,11459.0,11459.0
59,30104.0,30109.0,St. Hanshaugen Oslo,Bjerke Oslo,4259.0,4259.0
60,30104.0,30110.0,St. Hanshaugen Oslo,Grorud Oslo,2641.0,2641.0
61,30104.0,30111.0,St. Hanshaugen Oslo,Stovner Oslo,2443.0,2443.0
62,30104.0,30112.0,St. Hanshaugen Oslo,Alna Oslo,5946.0,5946.0
63,30104.0,30113.0,St. Hanshaugen Oslo,Østensjø Oslo,5519.0,5519.0
64,30104.0,30114.0,St. Hanshaugen Oslo,Nordstrand Oslo,5896.0,5896.0
65,30104.0,30115.0,St. Hanshaugen Oslo,Søndre Nordstrand Oslo,3562.0,3562.0
66,30104.0,30116.0,St. Hanshaugen Oslo,Sentrum Oslo,12214.0,12214.0
67,30104.0,30117.0,St. Hanshaugen Oslo,Marka Oslo,567.0,567.0
68,30105.0,30101.0,Frogner Oslo,Gamle Oslo,14509.0,13440.0
69,30105.0,30102.0,Frogner Oslo,Grünerløkka Oslo,14859.0,14859.0
70,30105.0,30103.0,Frogner Oslo,Sagene Oslo,10579.0,10579.0
71,30105.0,30104.0,Frogner Oslo,St. Hanshaugen Oslo,18712.0,18712.0
72,30105.0,30105.0,Frogner Oslo,Frogner Oslo,65838.0,65838.0
73,30105.0,30106.0,Frogner Oslo,Ullern Oslo,12645.0,12645.0
