,OrigCode,DestCode,Origin,Destination,Trips,Simulated_Trips
0,30101.0,30101.0,Gamle Oslo,Gamle Oslo,54156,43396.8
1,30102.0,30101.0,Grünerløkka Oslo,Gamle Oslo,18715,9313.5
2,30103.0,30101.0,Sagene Oslo,Gamle Oslo,9690,7025.7
3,30104.0,30101.0,St. Hanshaugen Oslo,Gamle Oslo,12727,9315.5
4,30105.0,30101.0,Frogner Oslo,Gamle Oslo,14509,13440.0
5,30106.0,30101.0,Ullern Oslo,Gamle Oslo,5644,5474.5
6,30107.0,30101.0,Vestre Aker Oslo,Gamle Oslo,6307,5119.1
7,30108.0,30101.0,Nordre Aker Oslo,Gamle Oslo,9597,7973.2
8,30109.0,30101.0,Bjerke Oslo,Gamle Oslo,6242,4001.1
9,30110.0,30101.0,Grorud Oslo,Gamle Oslo,4085,3027.1
10,30111.0,30101.0,Stovner Oslo,Gamle Oslo,4175,2636.2
11,30112.0,30101.0,Alna Oslo,Gamle Oslo,11422,4793.5
12,30113.0,30101.0,Østensjø Oslo,Gamle Oslo,9918,7123.0
13,30114.0,30101.0,Nordstrand Oslo,Gamle Oslo,9361,8677.6
14,30115.0,30101.0,Søndre Nordstrand Oslo,Gamle Oslo,5652,4499.5
15,30116.0,30101.0,Sentrum Oslo,Gamle Oslo,11109,10830.9
16,30117.0,30101.0,Marka Oslo,Gamle Oslo,340,378.3
17,30101.0,30102.0,Gamle Oslo,Grünerløkka Oslo,18469,12636.2
18,30102.0,30102.0,Grünerløkka Oslo,Grünerløkka Oslo,57167,57167.0
19,30103.0,30102.0,Sagene Oslo,Grünerløkka Oslo,15379,15379.0
20,30104.0,30102.0,St. Hanshaugen Oslo,Grünerløkka Oslo,15837,15837.0
21,30105.0,30102.0,Frogner Oslo,Grünerløkka Oslo,14859,14859.0
22,30106.0,30102.0,Ullern Oslo,Grünerløkka Oslo,5510,5510.0
23,30107.0,30102.0,Vestre Aker Oslo,Grünerløkka Oslo,6253,6253.0
24,30108.0,30102.0,Nordre Aker Oslo,Grünerløkka Oslo,11759,11759.0
25,30109.0,30102.0,Bjerke Oslo,Grünerløkka Oslo,7476,7476.0
26,30110.0,30102.0,Grorud Oslo,Grünerløkka Oslo,4055,4055.0
27,30111.0,30102.0,Stovner Oslo,Grünerløkka Oslo,3744,3744.0
28,30112.0,30102.0,Alna Oslo,Grünerløkka Oslo,9082,9082.0
29,30113.0,30102.0,Østensjø Oslo,Grünerløkka Oslo,6616,6616.0
30,30114.0,30102.0,Nordstrand Oslo,Grünerløkka Oslo,6351,6351.0
31,30115.0,30102.0,Søndre Nordstrand Oslo,Grünerløkka Oslo,3876,3876.0
32,30116.0,30102.0,Sentrum Oslo,Grünerløkka Oslo,9569,9569.0
33,30117.0,30102.0,Marka Oslo,Grünerløkka Oslo,661,661.0
34,30101.0,30103.0,Gamle Oslo,Sagene Oslo,9668,9656.5
35,30102.0,30103.0,Grünerløkka Oslo,Sagene Oslo,15488,15488.0
36,30103.0,30103.0,Sagene Oslo,Sagene Oslo,31938,31938.0
37,30104.0,30103.0,St. Hanshaugen Oslo,Sagene Oslo,11780,11780.0
38,30105.0,30103.0,Frogner Oslo,Sagene Oslo,10579,10579.0
39,30106.0,30103.0,Ullern Oslo,Sagene Oslo,3964,3964.0
40,30107.0,30103.0,Vestre Aker Oslo,Sagene Oslo,4656,4656.0
41,30108.0,30103.0,Nordre Aker Oslo,Sagene Oslo,13792,13792.0
42,30109.0,30103.0,Bjerke Oslo,Sagene Oslo,4685,4685.0
43,30110.0,30103.0,Grorud Oslo,Sagene Oslo,2352,2352.0
44,30111.0,30103.0,Stovner Oslo,Sagene Oslo,1803,1803.0
45,30112.0,30103.0,Alna Oslo,Sagene Oslo,5271,5271.0
46,30113.0,30103.0,Østensjø Oslo,Sagene Oslo,3809,3809.0
47,30114.0,30103.0,Nordstrand Oslo,Sagene Oslo,3643,3643.0
48,30115.0,30103.0,Søndre Nordstrand Oslo,Sagene Oslo,1863,1863.0
49,30116.0,30103.0,Sentrum Oslo,Sagene Oslo,5475,5475.0
50,30117.0,30103.0,Marka Oslo,Sagene Oslo,616,616.0
